Time;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,100[
1592956800;256348;236961;115473;54792;32257;19970;11607;4262
1593561600;1280653;1151826;547212;265130;155201;91805;50203;17265
1596240000;1079370;922469;392446;171387;90299;52413;33181;13083
1599004800;1302662;1081041;421214;166186;91720;58083;35922;14097
1601510400;1413791;1182040;461310;181723;102698;63164;36138;13405
1604188800;1454424;1205457;456190;174555;99868;63988;38195;14079
1606780800;1580122;1268538;465847;185222;107570;68255;42225;15724
1609459200;1642477;1300869;466310;186030;106460;68540;40984;14896
1612137600;1126112;876092;300778;116002;66434;46066;29191;11055
1614556800;0;0;0;0;0;0;0;0
1614556800;0;0;0;0;0;0;0;0
1617235200;0;0;0;0;0;0;0;0
1617235200;757556;618121;263612;116131;62499;40680;26019;9641
1619827200;1468569;1236159;564424;239395;121755;74291;46534;18039
1622505600;1391406;1201525;582629;257870;121644;67762;38379;13826
1625097600;1465933;1254063;566591;238279;115851;73513;50029;19564
1627776000;1444480;1237116;557780;225140;103902;64080;46824;19446
1630454400;1465048;1217312;556127;232108;98868;59763;42206;16677
1633046400;1573246;1282832;551577;209413;89046;54113;40303;17590
1635724800;1488165;1238852;556497;227720;103846;62562;42505;17366
1638316800;1489287;1254668;584659;248144;112159;68736;47664;18985
1640995200;1472721;1263725;593165;253792;119911;70490;48957;20177
1643673600;1345758;1169767;537297;219048;102638;56191;36024;14729
1646092800;1493379;1291914;591806;246692;115665;65243;44269;18777
1648771200;1384011;1185879;540115;233204;114771;65612;42143;17133
1651363200;466684;393404;178214;80329;39650;21268;12995;5015
