Time;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,100[
1592956800;35650;23294;10354;5187;3277;2618;2108;883
1593561600;174577;111843;48644;23223;13162;9259;6625;2571
1596240000;137292;88290;37393;16761;9110;5780;4121;1771
1599004800;175525;109531;41968;17972;9334;5956;4517;1947
1601510400;191977;116349;43911;19770;11054;7361;5280;2170
1604188800;193996;111206;43454;23275;14510;9116;5676;2183
1606780800;203169;112915;42199;22569;14343;9908;7094;2892
1609459200;217607;113905;41628;24447;16483;11021;7126;2729
1612137600;160675;81727;29046;17686;9645;5752;3822;1549
1614556800;0;0;0;0;0;0;0;0
1614556800;0;0;0;0;0;0;0;0
1617235200;0;0;0;0;0;0;0;0
1617235200;105459;55033;19296;9470;5681;3582;2462;1040
1619827200;200918;109413;42952;17750;6736;3320;2561;1214
1622505600;184896;100668;40680;17659;8658;4955;3304;1445
1625097600;186021;91514;38830;21101;9576;4968;3274;1392
1627776000;185542;90948;38359;15889;6186;2618;1360;492
1630454400;192328;93264;31988;14776;7693;3668;1446;393
1633046400;219406;101803;27259;9414;2929;966;509;169
1635724800;213369;101070;31506;14100;5498;1794;770;261
1638316800;205811;102937;30223;9036;1964;473;185;56
1640995200;212223;107811;29790;8756;2848;1018;348;97
1643673600;186027;98261;33452;11385;3103;983;414;119
1646092800;205174;110140;42722;17851;5343;1326;594;229
1648771200;194726;108086;37474;12713;3236;821;374;134
1651363200;69715;37518;12681;3544;680;166;83;37
