Time;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,100[
1592956800;166350;167217;83468;40645;25056;15359;8347;2905
1593561600;842807;817161;400433;204351;126863;74960;39112;12974
1596240000;738347;665277;281859;126868;69318;40220;25131;9777
1599004800;881749;765422;287375;112340;67389;44512;26809;10325
1601510400;963522;843375;314973;118551;71386;44768;24438;8865
1604188800;997498;872385;312515;110316;66906;45090;26422;9458
1606780800;1112825;931729;320073;120655;75129;48681;29137;10516
1609459200;1142119;955384;318716;116202;69262;46800;27650;9892
1612137600;751245;630562;203166;69205;42622;32054;20033;7425
1614556800;0;0;0;0;0;0;0;0
1614556800;0;0;0;0;0;0;0;0
1617235200;0;0;0;0;0;0;0;0
1617235200;514177;462134;204754;89326;47254;30542;19010;6827
1619827200;994252;925733;445879;190906;99131;60804;36259;13288
1622505600;939639;899354;462586;209783;100409;56335;31110;10751
1625097600;1005456;958914;451210;187721;90651;58613;40114;15332
1627776000;994708;947734;443672;180635;82612;51249;38489;16075
1630454400;1013852;937546;451311;185377;74820;46278;33340;12916
1633046400;1089453;990708;449576;166983;68280;40782;30517;13326
1635724800;1017351;951794;452825;181707;81007;49871;33909;13626
1638316800;1026075;962784;476649;206044;94451;58771;40542;15913
1640995200;1001173;962343;479048;205047;95315;55330;38214;15801
1643673600;918927;886831;419776;171788;83062;44870;28076;11398
1646092800;1034236;983639;457207;182615;87907;52747;36041;15194
1648771200;956885;897082;421542;179332;87878;51655;34973;14480
1651363200;320390;296834;138620;62172;31008;17224;10760;4198
