Time;Total
1592956800;52217
1593561600;248183
1596240000;193479
1599004800;240787
1601510400;262456
1604188800;260747
1606780800;272061
1609459200;288413
1612137600;207026
1614556800;0
1614556800;0
1617235200;0
1617235200;135573
1619827200;257954
1622505600;243835
1625097600;245241
1627776000;233822
1630454400;233948
1633046400;250780
1635724800;251892
1638316800;238333
1640995200;245459
1643673600;223301
1646092800;254164
1648771200;236270
1651363200;273832
1654041600;268321
1656633600;262405
1659312000;303670
1661990400;115193
