Time;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,100[
1592956800;256348;236962;115473;54792;32257;19970;11607;4262
1593561600;1281796;1153312;548243;265511;155356;91872;50243;17274
1596240000;1079478;922912;392954;171547;90341;52440;33194;13087
1599004800;1302508;1081123;421368;166216;91718;58083;35924;14097
1601510400;1413955;1182180;461356;181750;102715;63172;36140;13406
1604188800;1447688;1199735;454070;173746;99378;63659;38013;14025
1606780800;1577950;1266663;465094;184906;107423;68167;42162;15705
1609459200;1640505;1299362;465751;185806;106367;68468;40927;14875
1612137600;1126112;876092;300778;116002;66434;46066;29191;11055
1614556800;0;0;0;0;0;0;0;0
1614556800;0;0;0;0;0;0;0;0
1617235200;0;0;0;0;0;0;0;0
1617235200;757556;618121;263612;116131;62499;40680;26019;9641
1619827200;1480666;1247772;565636;238351;120282;72709;44983;17260
1622505600;1400133;1210841;585235;258043;121504;67422;37896;13583
1625097600;1465933;1254063;566591;238279;115851;73513;50029;19564
1627776000;1444480;1237116;557780;225140;103902;64080;46824;19446
1630454400;1465048;1217312;556127;232108;98868;59763;42206;16677
1633046400;1573246;1282832;551577;209413;89046;54113;40303;17590
1635724800;1488165;1238852;556497;227720;103846;62562;42505;17366
1638316800;1489287;1254668;584659;248144;112159;68736;47664;18985
1640995200;1472721;1263725;593165;253792;119911;70490;48957;20177
1643673600;1345758;1169767;537297;219048;102638;56191;36024;14729
1646092800;1493379;1291914;591806;246692;115665;65243;44269;18777
1648771200;1384011;1185879;540115;233204;114771;65612;42143;17133
1651363200;1528349;1291047;583903;251842;124109;70963;44936;17627
1654041600;1511726;1275393;555167;230573;117060;69095;41608;15575
1656633600;1491834;1250543;550432;227955;115291;69725;45697;18647
1659312000;1569211;1311405;599531;256412;129408;77884;53741;23106
1661990400;562149;472669;222790;100506;51844;31171;21420;9305
