Time;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,100[
1592956800;35650;23294;10354;5187;3277;2618;2108;883
1593561600;174727;111965;48713;23272;13187;9267;6627;2571
1596240000;137344;88323;37412;16775;9116;5782;4122;1772
1599004800;175525;109531;41968;17972;9334;5956;4517;1947
1601510400;191999;116360;43916;19774;11056;7361;5280;2170
1604188800;193234;110726;43262;23154;14426;9047;5621;2160
1606780800;202936;112769;42145;22537;14317;9879;7076;2888
1609459200;217351;113787;41586;24419;16468;11007;7112;2725
1612137600;160675;81727;29046;17686;9645;5752;3822;1549
1614556800;0;0;0;0;0;0;0;0
1614556800;0;0;0;0;0;0;0;0
1617235200;0;0;0;0;0;0;0;0
1617235200;105459;55033;19296;9470;5681;3582;2462;1040
1619827200;200810;109020;42899;18138;6896;3333;2562;1214
1622505600;184730;100556;40803;17769;8700;4961;3305;1446
1625097600;186021;91514;38830;21101;9576;4968;3274;1392
1627776000;185542;90948;38359;15889;6186;2618;1360;492
1630454400;192328;93264;31988;14776;7693;3668;1446;393
1633046400;219406;101803;27259;9414;2929;966;509;169
1635724800;213369;101070;31506;14100;5498;1794;770;261
1638316800;205811;102937;30223;9036;1964;473;185;56
1640995200;212223;107811;29790;8756;2848;1018;348;97
1643673600;186027;98261;33452;11385;3103;983;414;119
1646092800;205174;110140;42722;17851;5343;1326;594;229
1648771200;194726;108086;37474;12713;3236;821;374;134
1651363200;233055;122554;38026;10595;2145;464;253;121
1654041600;234421;120516;31981;6826;1150;368;212;82
1656633600;225632;115700;34661;7909;1266;408;261;113
1659312000;256936;132128;42937;10394;2811;1045;394;123
1661990400;98122;48986;15275;4497;1333;410;178;47
