Time;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,100[
1592956800;166350;167218;83468;40645;25056;15359;8347;2905
1593561600;843502;818298;401314;204660;126988;75017;39147;12981
1596240000;738309;665617;282325;127009;69352;40241;25139;9778
1599004800;881595;765504;287529;112370;67387;44512;26811;10325
1601510400;963635;843476;315001;118565;71398;44775;24440;8866
1604188800;992868;868185;310989;109808;66593;44874;26317;9434
1606780800;1111274;930327;319523;120428;75033;48637;29104;10506
1609459200;1140751;954267;318311;116053;69208;46759;27620;9880
1612137600;751245;630562;203166;69205;42622;32054;20033;7425
1614556800;0;0;0;0;0;0;0;0
1614556800;0;0;0;0;0;0;0;0
1617235200;0;0;0;0;0;0;0;0
1617235200;514177;462134;204754;89326;47254;30542;19010;6827
1619827200;1007084;937744;446532;189304;97483;59208;34707;12509
1622505600;948961;908736;464648;209733;100219;55989;30626;10507
1625097600;1005456;958914;451210;187721;90651;58613;40114;15332
1627776000;994708;947734;443672;180635;82612;51249;38489;16075
1630454400;1013852;937546;451311;185377;74820;46278;33340;12916
1633046400;1089453;990708;449576;166983;68280;40782;30517;13326
1635724800;1017351;951794;452825;181707;81007;49871;33909;13626
1638316800;1026075;962784;476649;206044;94451;58771;40542;15913
1640995200;1001173;962343;479048;205047;95315;55330;38214;15801
1643673600;918927;886831;419776;171788;83062;44870;28076;11398
1646092800;1034236;983639;457207;182615;87907;52747;36041;15194
1648771200;956885;897082;421542;179332;87878;51655;34973;14480
1651363200;1047180;970003;452151;196029;97455;55050;34666;13832
1654041600;1033200;957877;430967;179518;91062;53067;32289;12368
1656633600;1018105;935077;427869;180286;91651;54450;34801;14186
1659312000;1027804;962860;466779;204658;103614;61473;41752;18001
1661990400;358347;342474;173208;79168;40802;24310;16950;7621
